video,pitching,impact,wickets,decision
v1,IN_LINE,IN_LINE,HITTING,OUT
v2,OUTSIDE_OFF,OUTSIDE,MISSING,NOT_OUT
v3,OUTSIDE_OFF,IN_LINE,HITTING,OUT
v4,OUTSIDE_LEG,UNKNOWN,UNKNOWN,NOT_OUT
v5,IN_LINE,IN_LINE,MISSING,NOT_OUT
v6,OUTSIDE_LEG,UNKNOWN,UNKNOWN,NOT_OUT
v7,IN_LINE,UNKNOWN,UNKNOWN,NOT_OUT
v8,OUTSIDE_OFF,UNKNOWN,UNKNOWN,NOT_OUT
v9,OUTSIDE_OFF,IN_LINE,HITTING,OUT
v10,OUTSIDE_OFF,OUTSIDE,MISSING,NOT_OUT
v11,OUTSIDE_OFF,IN_LINE,HITTING,OUT
v12,IN_LINE,IN_LINE,HITTING,OUT
v13,OUTSIDE_OFF,OUTSIDE,MISSING,NOT_OUT
v14,OUTSIDE_OFF,IN_LINE,MISSING,NOT_OUT
v15,IN_LINE,IN_LINE,HITTING,OUT
v16,IN_LINE,OUTSIDE,MISSING,NOT_OUT
v17,OUTSIDE_OFF,IN_LINE,MISSING,NOT_OUT
v18,IN_LINE,IN_LINE,MISSING,NOT_OUT
v19,UNKNOWN,UNKNOWN,HITTING,OUT
